Date,Ticker,Close,Strategy,Short_Window,Long_Window,Raw_Signal,Position,Trade_Shares,Shares,Cash,Portfolio_Value,Daily_Return,Cumulative_Return
2015-02-02,AAPL,26.250513076782227,MovingAverage,5,20,1,0,0,0,100000.0,100000.0,0.0,0.0
2015-02-03,AAPL,26.254940032958984,MovingAverage,5,20,1,1,3808,3808,21.1883544921875,100000.0,0.0,0.0
2015-02-04,AAPL,26.45630645751953,MovingAverage,5,20,1,1,0,3808,21.1883544921875,100766.80334472656,0.007668033447265632,0.007668033447265632
2015-02-05,AAPL,26.645132064819336,MovingAverage,5,20,1,1,0,3808,21.1883544921875,101485.85125732422,0.00713576186532161,0.01485851257324211
2015-02-06,AAPL,26.42076110839844,MovingAverage,5,20,1,1,0,3808,21.1883544921875,100631.44665527345,-0.008418952902945698,0.006314466552734599
2015-02-09,AAPL,26.596261978149418,MovingAverage,5,20,1,1,0,3808,21.1883544921875,101299.75396728517,0.006641137877120062,0.012997539672851666
2015-02-10,AAPL,27.10721206665039,MovingAverage,5,20,1,1,0,3808,21.1883544921875,103245.45190429688,0.019207331319285093,0.03245451904296881
2015-02-11,AAPL,27.742570877075195,MovingAverage,5,20,1,1,0,3808,21.1883544921875,105664.89825439453,0.02343392668124844,0.05664898254394535
2015-02-12,AAPL,28.093578338623047,MovingAverage,5,20,1,1,0,3808,21.1883544921875,107001.53466796875,0.01264976766793624,0.07001534667968756
2015-02-13,AAPL,28.231311798095703,MovingAverage,5,20,1,1,0,3808,21.1883544921875,107526.02368164062,0.004901696179399506,0.07526023681640615
2015-02-17,AAPL,28.39792823791504,MovingAverage,5,20,1,1,0,3808,21.1883544921875,108160.49908447266,0.005900668332259329,0.0816049908447265
2015-02-18,AAPL,28.59564781188965,MovingAverage,5,20,1,1,0,3808,21.1883544921875,108913.41522216797,0.00696110080915302,0.08913415222167975
2015-02-19,AAPL,28.535661697387695,MovingAverage,5,20,1,1,0,3808,21.1883544921875,108684.98809814453,-0.0020973277126373757,0.0868498809814453
2015-02-20,AAPL,28.768930435180664,MovingAverage,5,20,1,1,0,3808,21.1883544921875,109573.27545166016,0.008173045505727838,0.09573275451660157
2015-02-23,AAPL,29.54646873474121,MovingAverage,5,20,1,1,0,3808,21.1883544921875,112534.14129638672,0.02702178822821444,0.12534141296386725
2015-02-24,AAPL,29.36207389831543,MovingAverage,5,20,1,1,0,3808,21.1883544921875,111831.96575927734,-0.006239666727095972,0.11831965759277341
2015-02-25,AAPL,28.61119842529297,MovingAverage,5,20,1,1,0,3808,21.1883544921875,108972.63195800781,-0.025568126088602927,0.08972631958007815
2015-02-26,AAPL,28.973312377929688,MovingAverage,5,20,1,1,0,3808,21.1883544921875,110351.56188964844,0.012653910499032417,0.10351561889648431
2015-02-27,AAPL,28.53788375854492,MovingAverage,5,20,1,1,0,3808,21.1883544921875,108693.44970703124,-0.015025724640629123,0.08693449707031231
2015-03-02,AAPL,28.67784309387207,MovingAverage,5,20,1,1,0,3808,21.1883544921875,109226.41485595703,0.004903378725786389,0.09226414855957032
2015-03-03,AAPL,28.73782730102539,MovingAverage,5,20,1,1,0,3808,21.1883544921875,109454.83471679688,0.0020912511057062932,0.09454834716796867
2015-03-04,AAPL,28.55565071105957,MovingAverage,5,20,1,1,0,3808,21.1883544921875,108761.10626220703,-0.0063380339149458065,0.0876110626220703
2015-03-05,AAPL,28.08247756958008,MovingAverage,5,20,1,1,0,3808,21.1883544921875,106959.26293945314,-0.016566982303489186,0.06959262939453148
2015-03-06,AAPL,28.124679565429688,MovingAverage,5,20,1,1,0,3808,21.1883544921875,107119.96813964844,0.001502489787034822,0.07119968139648436
2015-03-09,AAPL,28.244644165039062,MovingAverage,5,20,0,1,0,3808,21.1883544921875,107576.79333496094,0.00426461287513602,0.0757679333496093
2015-03-10,AAPL,27.660381317138672,MovingAverage,5,20,0,0,-3808,0,105351.92041015625,105351.92041015625,-0.02068171820177911,0.05351920410156241
2015-03-11,AAPL,27.156085968017575,MovingAverage,5,20,0,0,0,0,105351.92041015625,105351.92041015625,0.0,0.05351920410156241
2015-03-12,AAPL,27.647048950195312,MovingAverage,5,20,0,0,0,0,105351.92041015625,105351.92041015625,0.0,0.05351920410156241
2015-03-13,AAPL,27.45600128173828,MovingAverage,5,20,0,0,0,0,105351.92041015625,105351.92041015625,0.0,0.05351920410156241
2015-03-16,AAPL,27.75813102722168,MovingAverage,5,20,0,0,0,0,105351.92041015625,105351.92041015625,0.0,0.05351920410156241
2015-03-17,AAPL,28.222431182861328,MovingAverage,5,20,0,0,0,0,105351.92041015625,105351.92041015625,0.0,0.05351920410156241
2015-03-18,AAPL,28.540103912353516,MovingAverage,5,20,0,0,0,0,105351.92041015625,105351.92041015625,0.0,0.05351920410156241
